epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1072.15,1.52805,1.36958,1.03135,0.41782,0.29302,0.28233,0.15017,1.43141,1.0145,0.97352,0.00999782,0.00333261,0.00999782,0.00333261,0.00999782,0.00333261,0.00999782,0.00333261
2,2439.66,1.50149,1.05807,1.01446,0.56299,0.29351,0.30247,0.16034,1.40537,0.9432,0.97764,0.0196019,0.00653395,0.0196019,0.00653395,0.0196019,0.00653395,0.0196019,0.00653395
3,3670.46,1.52237,1.05415,1.02476,0.52184,0.29145,0.28893,0.15347,1.40917,0.94056,0.98226,0.0288099,0.0096033,0.0288099,0.0096033,0.0288099,0.0096033,0.0288099,0.0096033
4,4875.54,1.50377,1.0277,1.01865,0.538,0.32462,0.32191,0.16783,1.38249,0.90024,0.96887,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,6096.07,1.4663,0.981,1.003,0.54812,0.3274,0.33429,0.17841,1.36181,0.86719,0.96058,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,7318.52,1.44269,0.9536,0.99358,0.59397,0.33683,0.35382,0.1903,1.34188,0.84374,0.95174,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,8508.92,1.42555,0.932,0.98656,0.5944,0.33967,0.35952,0.19351,1.32691,0.82894,0.94691,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,9698.45,1.41485,0.91973,0.98237,0.59678,0.35551,0.37025,0.20064,1.31517,0.81381,0.94156,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,10912.4,1.40546,0.90619,0.97816,0.60884,0.3551,0.37874,0.20665,1.30668,0.80191,0.93925,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,11724.4,1.39605,0.89811,0.97555,0.61096,0.35906,0.38381,0.21092,1.29866,0.79452,0.9371,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,12342.1,1.38827,0.88981,0.97365,0.63968,0.35577,0.3913,0.21536,1.29433,0.78634,0.93451,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,13472.3,1.38296,0.87958,0.96964,0.6422,0.36255,0.39806,0.22003,1.29009,0.77865,0.93221,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,14697.5,1.37651,0.87396,0.9694,0.64427,0.36138,0.3998,0.22163,1.28502,0.77212,0.93021,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,15902.9,1.371,0.86778,0.96638,0.64011,0.36906,0.40381,0.22339,1.28046,0.76798,0.92864,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,17118.2,1.36634,0.86303,0.96447,0.64611,0.36937,0.40925,0.22654,1.27668,0.76232,0.92688,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
