epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,115.277,1.56175,1.88161,1.63854,0.48864,0.41604,0.41067,0.2266,1.67953,1.94087,1.74826,0.00332881,0.00332881,0.0700407
2,227.179,1.57986,1.90783,1.6534,0.5245,0.401,0.43398,0.24195,1.616,1.96712,1.70845,0.0065797,0.0065797,0.0399583
3,320.465,1.61608,1.96907,1.66888,0.48095,0.43017,0.4275,0.23759,1.63057,1.92184,1.72678,0.00974809,0.00974809,0.00979332
4,426.704,1.61178,1.98376,1.67699,0.47874,0.4225,0.41694,0.23582,1.60858,1.90788,1.71673,0.00962875,0.00962875,0.00962875
5,539.425,1.61412,1.96293,1.67646,0.51218,0.45956,0.45598,0.25482,1.61819,1.8587,1.71316,0.009505,0.009505,0.009505
6,638.9,1.61953,1.96091,1.68986,0.53696,0.44533,0.46309,0.26045,1.59627,1.8196,1.69141,0.00938125,0.00938125,0.00938125
7,103.898,1.5913,1.9345,1.66041,0.50762,0.45131,0.45073,0.25092,1.63396,1.86227,1.70204,0.0092575,0.0092575,0.0092575
8,217.146,1.57181,1.88616,1.64518,0.53898,0.44665,0.46499,0.2594,1.61597,1.82201,1.71382,0.00913375,0.00913375,0.00913375
9,331.063,1.5811,1.87288,1.63689,0.54558,0.44267,0.46343,0.26085,1.60125,1.81973,1.68673,0.00901,0.00901,0.00901
10,456.627,1.55459,1.85442,1.63144,0.54066,0.4431,0.46216,0.26252,1.60203,1.7979,1.69497,0.00888625,0.00888625,0.00888625
11,572.576,1.5547,1.82159,1.63011,0.51696,0.46153,0.46438,0.26169,1.60459,1.80589,1.70972,0.0087625,0.0087625,0.0087625
12,683.954,1.54682,1.81719,1.63043,0.55663,0.47234,0.4899,0.28121,1.57926,1.75737,1.67179,0.00863875,0.00863875,0.00863875
13,800.817,1.56265,1.84664,1.63628,0.53976,0.47493,0.48976,0.27838,1.59937,1.76353,1.68331,0.008515,0.008515,0.008515
14,912.134,1.55692,1.83961,1.63032,0.53605,0.4755,0.48435,0.27859,1.58383,1.73727,1.67509,0.00839125,0.00839125,0.00839125
15,1023.68,1.55088,1.82563,1.61959,0.5459,0.48064,0.49622,0.28767,1.56703,1.71143,1.65734,0.0082675,0.0082675,0.0082675
16,1144.11,1.54063,1.80371,1.61851,0.55621,0.48088,0.49194,0.28405,1.55958,1.72007,1.65129,0.00814375,0.00814375,0.00814375
17,1261.21,1.52909,1.78073,1.61156,0.53042,0.48449,0.49684,0.28403,1.57374,1.71845,1.66133,0.00802,0.00802,0.00802
18,1377.29,1.53666,1.78571,1.60531,0.57643,0.49116,0.51532,0.29483,1.55596,1.7002,1.66315,0.00789625,0.00789625,0.00789625
19,1492.61,1.53246,1.77069,1.60121,0.58541,0.49081,0.51755,0.29709,1.55524,1.6464,1.63666,0.0077725,0.0077725,0.0077725
20,1605.94,1.52372,1.75084,1.59302,0.58006,0.47739,0.51743,0.30009,1.56285,1.68465,1.63596,0.00764875,0.00764875,0.00764875
21,1712.96,1.51056,1.72193,1.58888,0.59588,0.48643,0.52616,0.30658,1.5505,1.64378,1.64646,0.007525,0.007525,0.007525
22,1808.4,1.5147,1.73056,1.58376,0.55999,0.51344,0.5272,0.30467,1.54584,1.65455,1.62953,0.00740125,0.00740125,0.00740125
23,1902.82,1.50333,1.69438,1.57491,0.57854,0.50347,0.52848,0.30993,1.53655,1.61696,1.61973,0.0072775,0.0072775,0.0072775
24,1996.53,1.49572,1.70772,1.57602,0.60772,0.49841,0.53861,0.31396,1.52772,1.62025,1.61949,0.00715375,0.00715375,0.00715375
25,2122.39,1.49622,1.6622,1.57292,0.59065,0.51405,0.53358,0.31335,1.53285,1.60125,1.62614,0.00703,0.00703,0.00703
26,2243.74,1.49379,1.69592,1.57732,0.62315,0.48816,0.54191,0.31848,1.52334,1.62282,1.61197,0.00690625,0.00690625,0.00690625
